"id","team","year","g","w","l","o.pts","o.tot.yds","o.rush.yds","o.pass.yds","o.tot.td","o.rush.td","o.pass.td","d.pts","d.tot.yds","d.rush.yds","d.pass.yds","d.tot.td","d.rush.td","d.pass.td","playoffs"
"Dragons 21","Barcelona Dragons","2021","10","3","7","237","2797","548","2249","32","5","22","277","3831","2017","1814","35","14","18","0"
"Thunder 21","Berlin Thunder","2021","10","3","7","228","2890","1543","1347","33","11","18","296","3171","913","2258","39","8","27","0"
"Centurions 21","Cologne Centurions","2021","10","5","5","320","4157","2424","1733","48","29","16","365","4035","1259","2776","51","13","36","1"
"Galaxy 21","Frankfurt Galaxy","2021","10","9","1","357","3593","1217","2376","50","16","28","132","2194","746","1448","16","3","10","1"
"Devils 21","Hamburg Sea Devils","2021","10","7","3","274","2747","1437","1310","30","8","16","178","2538","718","1820","24","6","14","1"
"Kings 21","Leipzig Kings","2021","10","4","8","295","3676","1231","2445","43","8","31","320","3125","1717","1408","44","21","19","0"
"Wroclaw 21","Panthers Wroclaw","2021","10","6","4","314","3918","1152","2766","42","14","24","259","3196","1418","1778","37","15","15","1"
"Surge 21","Stuttgart Surge","2021","10","2","8","157","2349","844","1505","20","8","12","355","4037","1608","2429","52","19","28","0"
"Dragons 22","Barcelona Dragons","2022","12","8","4","364","4214","1036","3178","48","7","37","225","3769","1519","2250","30","12","17","1"
"Thunder 22","Berlin Thunder","2022","12","7","5","321","3964","1616","2348","40","16","21","282","3482","1514","1968","38","11","22","0"
"Centurions 22","Cologne Centurions","2022","12","3","9","301","4240","932","3308","44","6","35","473","4873","1576","3297","62","18","38","0"
"Galaxy 22","Frankfurt Galaxy","2022","12","8","4","386","4312","1304","3008","50","15","33","247","3742","1343","2399","34","8","23","0"
"Devils 22","Hamburg Sea Devils","2022","12","11","1","424","4143","2217","1926","55","32","16","160","2853","965","1888","19","2","15","1"
"Rams 22","Istanbul Rams","2022","12","1","11","210","3452","1184","2268","26","8","16","499","5226","1314","3912","69","19","47","0"
"Kings 22","Leipzig Kings","2022","12","4","8","242","3488","1145","2343","34","7","23","370","4174","1356","2818","50","18","26","0"
"Wroclaw 22","Panthers Wroclaw","2022","12","5","7","287","3813","1163","2650","41","9","25","305","3833","1553","2280","40","10","27","0"
"Tirol 22","Raiders Tirol","2022","12","8","4","418","4829","1706","3123","58","25","32","229","3349","1025","2324","31","8","21","1"
"Fire 22","Rhein Fire","2022","12","7","5","346","4467","1400","3067","46","8","33","314","4347","1428","2919","42","18","20","0"
"Surge 22","Stuttgart Surge","2022","12","0","12","113","2816","933","1883","13","6","6","451","4756","1667","3089","61","26","30","0"
"Vikings 22","Vienna Vikings","2022","12","10","2","352","4476","1665","2811","47","17","27","209","3810","1041","2769","26","6","18","1"
"Dragons 23","Barcelona Dragons","2023","12","2","10","199","3677","941","2736","27","6","20","396","4884","1721","3163","51","21","28","0"
"Thunder 23","Berlin Thunder","2023","11","8","4","339","3605","716","2889","47","7","32","174","2679","1400","1279","21","6","13","1"
"Centurions 23","Cologne Centurions","2023","10","4","8","154","2339","710","1629","20","4","11","298","3005","958","2047","39","12","20","0"
"Enthroners 23","Fehervar Enthroners","2023","10","3","9","136","2673","1037","1636","21","9","11","400","3293","1322","1971","55","19","28","0"
"Galaxy 23","Frankfurt Galaxy","2023","12","10","2","382","4077","1089","2988","47","14","31","233","3252","1117","2135","32","10","16","1"
"Devils 23","Hamburg Sea Devils","2023","12","4","8","247","3666","1216","2450","29","8","18","278","3755","712","3043","37","5","26","0"
"Guards 23","Helvetic Guards","2023","12","3","9","174","2342","860","1482","20","6","7","378","4808","1455","3353","50","11","36","0"
"Seamen 23","Milano Seamen","2023","12","2","10","328","4526","1101","3425","41","8","26","497","5316","1723","3593","68","25","38","0"
"Ravens 23","Munich Ravens","2023","12","7","5","425","5469","2007","3462","57","22","31","338","4682","1493","3189","47","16","29","0"
"Wroclaw 23","Panthers Wroclaw","2023","11","8","4","354","3826","1700","2126","46","16","26","215","3867","1592","2275","30","14","15","1"
"Musketeers 23","Paris Musketeers","2023","12","6","6","320","4475","1486","2989","45","13","31","277","3749","860","2889","36","3","33","0"
"Lions 23","Prague Lions","2023","10","1","11","120","2161","977","1184","16","9","6","406","4230","1632","2598","55","23","25","0"
"Tirol 23","Raiders Tirol","2023","12","8","4","307","4219","1357","2862","38","12","24","230","3529","1175","2354","32","8","18","0"
"Fire 23","Rhein Fire","2023","12","12","0","540","5482","1756","3726","78","17","53","199","3441","1006","2435","24","6","17","1"
"Surge 23","Stuttgart Surge","2023","12","10","2","387","4757","1611","3146","54","24","28","237","3771","1203","2568","30","10","16","1"
"Vikings 23","Vienna Vikings","2023","11","12","0","367","4575","2035","2540","50","27","20","166","2960","900","2060","21","10","9","1"
